	A05129	CEFET MT	Federal Center of Technological Education, Mato Grosso, Brazil
	A05130	CEFET PE	Federal Center of Technological Education, Pernambuco, Brazil
	A05131	CEFET SP	Federal Center of Technological Education, Sao Paulo, Brazil
	A05132	CEFET GO	Federal Center of Technological Education, Goias, Brazil
	A05133	CEFET CE	Federal Center of Technological Education, Ceara, Brazil
	A05134	UFPA	Federal University of Para, Brazil
	A05135	Christ U Bangalore	Christ University, Bangalore
	A05136	ARCI	Advanced Research Center for Powder Metallurgy and New Materials, Hydrabad, India
	A05137	NITK	National Institute of Technology Karnataka, India
	A05138	METRI KMA	Korea Meteorological Administration
	A05139	Tokyo City U	Tokyo City University, Japan
A05139	A05140	Musashi Inst Tech	Musashi Institute of Technology, Tokyo
	A05142	CIC Arg	Commission of Scientific Research, Argentina
A05142	A05143	CIOp	Center of Optical Research, Argentina
	A05144	AEMET	Spanish State Meteorological Agency
	A05145	INVEMAR	Instituto de Investigaciones Marinas y Costeras, Colombia
	A05146	Hoch Mannheim	Hochschule Mannheim, Germany
	A05147	LZH	Laser Center, Hannover, Germany
	A05148	Brit U Egypt	British University in Egypt
	A05149	INE	Instituto Nacional de Ecologia, Mexico
	A05150	U Nicosia	University of Nicosia, Cyprus
	A05151	IIT Genoa	Italian Institute of Technology, Genoa
	A05152	U Lubumbashi	University of Lubumbashi, Congo
	A05153	UNSA	National University of Saint Augustine, Peru
	A05154	SGSITS	Shri Govindram Seksaria Institute of Technology and Science, India
	A05155	Bhilai Inst Tech	Bhilai Institute of Technology, India
	A05156	SAW Leipzig	German Academy of Sciences, Leipzig
	A05157	Bilecik U	Bilecik University, Turkey
	A05158	Cyprus U Tech	Cyprus University of Technology
	A05159	Maritime U Szczecin	Maritime University of Szczecin, Poland
	A05160	CSEM	Centre Suisse d'Electronique et de Microtechnique
	A05161	Gurukula Kangri U	Gurukula Kangri University, India
	A05162	Gorgan U	Gorgan University, Iran
	A05163	Taibah U	Taibah University, Saudi Arabia
	A05164	Korea NST	Korea Research Council of Fundamental Science and Technology
A05164	A05165	KOPRI	Korea Polar Research Institute
A05164	A05166	NFRI	National Fusion Research Institute, Korea
A05164	A05167	KARI	Korea Aerospace Research Institute
A05164	A05168	KASSI	Korea Astronomy and Space Science Institute
A05164	A05169	KIST	Korea Institute of Science and Technology Information
A05164	A05170	KIOST	Korea Institute of Ocean Science and Technology
A05164	A05171	KBSI	Korea Basic Science Institute
A05164	A05172	KAERI	Korea Atomic Energy Research Institute
A05164	A05173	KRISS	Korea Research Institute of Standards and Science
A05164	A06468	EAO	East Asian Observatory, Hawaii
	A05174	DNTU	Donetsk National Technical University, Ukraine
	A05175	INSTM	National Institute of Marine Sciences and Technologies, Tunisia
	A05176	China Seis Bur	China Seismological Bureau
	A05177	NSPO Taiwan	National Space Program Office, Taiwan
	A05178	S China Norm U	South China Normal University
	A05179	Mouloud Mammeri U	Mouloud Mammeri University of Tizi Ouzou, Algeria
	A05180	NIEP	National Institute of Earth Physics, Bucharest, Romania
	A05181	Islamia Coll	Islamia College, Peshawar, Pakistan
	A05182	Geo Surv NA	Geological Survey of Namibia
	A05183	IISER Punjab	Indian Institute of Science Education, Punjab
	A05184	Azerb NAS	Azerbaijan National Academy of Sciences
A05184	A05185	Inst Phy	Azerbaijan National Academy of Sciences, Institute of Physics
A05184	A11455	Shemakhy Obs	Azerbaijan National Academy of Sciences, Shemakhy Observatory
	A05186	NARL India	National Atmospheric Research Laboratory, India
	A05187	NCAOR	National Centre for Antarctic and Ocean Research, India
	A05188	TU Timisoara	Technical University of Timisoara, Romania
	A05190	UBMA	University Badji Mokhtar Annaba, Algeria
	A05191	U Djillali Liabes	Universite Djillali Liabes, Algeria
	A05192	Quest U	Quest University, Canada
	A05193	Alberta Geo Surv	Alberta Geological Survey, Canada
	A05194	U Guilan	University of Guilan, Iran
	A05195	Azerbaijan U	Azerbaijan Shahid Madani University, Tabriz, Iran
	A05196	Noor U	Noor University, Iran
	A05197	Arak U	Arak University, Iran
	A05198	UCSI	University College Sedaya International, Malaysia
A05198	A05199	Terengganu	USCI Terengganu Kuala, Malaysia
	A05200	ESUT	Enugu State University of Science and Technology, Nigeria
	A05201	Natl U Callao	National University of Callao, Peru
	A05202	Lovely Prof U	Lovely Professional University, India
	A05203	Poly U Pachuca	Polytechnical University of Pachuca, Mexico
	A05204	KAUST	King Abdullah University of Science and Technology, Saudi Arabia
	A05205	U Kragujevcu	University of Kragujevcu, Serbia
	A05206	Bahir Dar U	Bahir Dar University, Ethiopia
	A05207	Mekelle U	Mekelle University, Ethiopia
	A05208	Hawassa U	Hawassa University, Ethiopia
	A05209	Kumasi UST	Kumasi University of Science and Technology, Ghana
	A05210	U Tirana	University of Tirana, Albania
	A05211	Aix-Marseille U	Aix-Marseille Universite, France
A05211	A05212	CPPM	Center for Particle Physics, Marseille
A05211	A05213	IUSTI	Institut Universitaire des Systemes Thermiques Industriels
A05211	A05214	Inst Fresnel	Fresnel Institute, Marseille
A05211	A05215	LPCE	Laboratoire de Physique et de Chimie de l'Environnement
A05211	A05216	Dep Phy	Aix-Marseille Universite, Departement de Physique
A05211	A05217	CEREGE	Centre Europeen de Recherche et d'Enseignement des Geosciences de l'Environnement
A05211	A05218	Ctr Ocgy Marseille	Centre d'Oceanologie de Marseille
A05211	A05219	Inst Math Marseille	Institut de Mathematiques de Marseille
A05211	A05220	OHP	Observatoire de Haute Provence
A05211	A05221	OAMP	Observatoire Astronomique de Marseille Provence
A05211	A05222	Lab d'Astrop	Aix-Marseille Universite, Laboratoire d'Astrophysique
A05211	A05223	CPT	Center for Theoretical Physics, Marseille
A05211	A11259	II	Aix-Marseille Universite II
A05211	A11260	III Paul Cezanne	Aix-Marseille Universite III, Paul Cezanne
	A05224	Ac Poli Mil	Academia Politecnica Militar, Santiago, Chile
	A05225	IEMN Lille	Institut d'Electronique de Microelectronique et de Nanotechnologie, Lille, France
	A05226	KITECH	Korea Institute of Industrial Technology
	A05227	UNIST	Ulsan National Institute of Science and Technology, Korea
	A05228	Ilia St U	Ilia State University, Georgia
A05228	A05229	Abast Ast Obs	Abastumani Astrophysical Observatory
	A05230	U Lyon	Universite de Lyon, France
A05230	A05231	CRAL Obs Lyon	Observatoire de Lyon, Centre Recherche Astrophysique de Lyon
A05230	A05232	LGLTPE	Laboratoire de Geologie de Lyon, Terre, Planetes et Environnement
A05230	A05233	LPMCN	Laboratoire de Physique de la Matiere Condensee et Nanostructures, Lyon
A05230	A05234	U Lumiere Lyon II	Universite Lumiere Lyon II
A05230	A05235	Jean Moulin U	Jean Moulin University, Lyon III
A05230	A05236	I Claude Bernard	Universite Lyon I Claude Bernard
A05230	A05237	IPNL	Institut de Physique Nucleaire de Lyon
A05230	A06370	ILM	Institut Lumiere Matiere de Lyon
A05230	A06371	INL	Institut des Nanotechnologies de Lyon
A05230	A06372	LASIM	Laboratoire de Spectrometrie Ionique et Moleculaire, Lyon
	A05238	U Grenoble Alpes	Universite de Grenoble Alpes
A05238	A05239	LTHE	Laboratory for the Study of Transfers in Hydrology and Environment, Grenoble
A05238	A05240	IPAG	Institute de Planetologie et d'Astrophysique de Grenoble
A05238	A06132	LNCMI-G	National Laboratory of Intense Magnetic Fields, Grenoble
A05238	A05242	U Stendhal III	Universite Stendhal Grenoble III
A05238	A05243	U Grenoble II	Universite Pierre Mendes-France Grenoble II
A05238	A05244	ISTerre	Institute of Earth Sciences, Grenoble
A05238	A05245	LEGI	Laboratoire des Ecoulements Geophysiques et Industriels, Grenoble
	A05246	IPL	Institut Polytechnique de Lyon, France
	A05247	CTA Braz	Brazilian General Command for Aerospace Technology
A05247	A05248	IEA	Institute of Advanced Studies, Brazil
A05247	A05249	ITA	Instituto Tecnologico de Aeronautica, Centro Tecnico Aeroespacial
	A05250	NMIRI	Nagoya Municipal Industrial Research Institute, Japan
	A05251	Tokyo Elec	Tokyo Electron Corporation, Japan
	A05252	ITEP	Alikhanov Institute for Theoretical and Experimental Physics, Russia
	A05253	KSPU	Kazan State Pedagogical University, Russia
	A05254	VNIIM	Mendeleev Scientific and Research Institute for Metrology, Russia
	A05255	TsAGI	Central Aerohydrodynamic Institute, Moscow, Russia
	A05256	U Lorraine	Universite de Lorraine, France
A05256	A05257	ENS Geo	Universite de Lorraine, Ecole Nationale Superieure de Geology
A05256	A05258	LMOPS	Laboratoire Materiaux Optiques Photonique et Systemes, Metz
A05256	A05259	CNRS Nancy	Institut Jean Lamour, Nancy
A05256	A05260	U Paul Verlaine	Universite Paul Verlaine, Metz
A05256	A05261	GeoResources	GeoResources, Centre de Recherches Petrographiques et Geochimiques
A05256	A05262	ENSIC	Ecole Nationale Superieure des Industries Chimiques, Nancy
A05256	A05263	ENSM Nancy	Ecole Nationale Superieure des Mines de Nancy
	A05264	NAU KhAI	National Aerospace University, Kharkiv, Ukraine
	A05265	CMCC	Euro-Mediterranean Center for Climate Change
	A05266	NCHU China	Nanchang Hangkong University, China
	A05267	KIER	Korea Institute of Energy and Resources
	A05268	Chinju Natl U Ed	Chinju National University of Education, Korea
	A05269	Westinghouse	Westinghouse Electric Company LLC
	A05270	St Bur Surv Map	State Bureau of Surveying and Mapping, China
	A05271	Kharazmi U	Kharazmi University, Tehran, Iran
	A05272	Tajik NAS	Tajik National Academy of Sciences
A05272	A11456	Inst Astrop	Tajik NAS, Institute of Astrophysics
	A05273	VNIINM	Bochvar Scientific Research Institute of Non-Organic Materials, Moscow, Russia
	A05274	VNIIOFI	All-Russia Scientific Institute for Optics and Physical Measurements, Moscow, Russia
	A05276	Roscosmos	Russian Aviation and Space Agency
A05276	A05277	RISDE	Russian Institute of Space Device Engineering
A05276	A05278	KBSM	Central Design Bureau of Machine Building
	A05279	CIFAR	Canadian Institute for Advanced Research
	A05280	TX A&M Qatar	Texas A&M University, Qatar
	A05281	Airlangga U	Airlangga University, Indonesia
	A05282	Sebelas Maret U	Sebelas Maret University, Indonesia
	A05283	UNRN	National University of Rio Negro, Argentina
	A05284	Tech Inst Ensenada	Technical Institute of Ensenada, Mexico
	A05285	Tech Inst Saltillo	Technical Institute of Saltillo, Mexico
	A05286	KIT	Karlsruhe Institute of Technology, Germany
A05286	A05287	Dep Phy	Karlsruhe Institute of Technology, Department of Physics
A05286	A05288	Inst Geod	Karlsruhe Institute of Technology, Institute for Geodesy
A05286	A05289	Inst Nano	Karlsruhe Institute of Technology, Institute for Nanotechnology
A05286	A05290	Inst Geop	Karlsruhe Institute of Technology, Institute for Geophysics
A05286	A11501	Black Forest Obs	Black Forest Observatory
A05286	A11502	Inst Met Cli	Karlsruhe Institute of Technology, Institute for Meteorology and Climatology
A05286	A11503	Inst Exp Nuc Phy	Karlsruhe Institute of Technology, Institute for Experimental Nuclear Physics
	A05291	IMR Bergen	Institute of Marine Research, Bergen, Norway
	A05292	SUERC	Scottish Universities Environmental Research Centre
	A05293	WIMCS	Wales Institute of Mathematical and Computational Sciences
	A05294	Kunming U	Kunming University, China
	A05295	TU Chile	Technical University of Chile
	A05296	Sichuan U Arts Sci	Sichuan University of Arts and Science, China
	A05297	UFCG	Federal University of Campina Grande, Brazil
	A05298	Hellenic Air Force	Hellenic Air Force, Greece
	A05299	Kyungwon U	Kyungwon University, Korea
	A05300	Sinop U	Sinop University, Turkey
	A05301	Najran U	Najran University, Saudi Arabia
	A05302	Nrthn Border U	Northern Border University, Saudi Arabia
	A05303	Fayoum U	Fayoum University, Egypt
	A05304	Beni Suef U	Beni Suef University, Egypt
	A05305	IZOR	Institute for Oceanography and Fisheries, Split, Croatia
	A05306	HR Geo Surv	Croatian Geological Survey
	A05307	Youngdong U	Youngdong University, Korea
	A05308	Adiyaman U	Adiyaman University, Turkey
	A05309	Bingol U	Bingol University, Turkey
	A05310	Erzincan U	Erzincan University, Turkey
	A05311	U Estrn Finland	University of Eastern Finland
A05311	A06224	Kuopio	University of Eastern Finland, Kuopio
A05311	A06225	Joensuu	University of Eastern Finland, Joensuu
	A05312	SETI Inst	SETI Institute, California
	A05313	EASA	European Academy of Sciences and Arts
A05313	A05314	IASS	Institute for Advanced Sustainability Studies, Potsdam
	A05315	CEFET ES	Federal Center of Technological Education, Espirito Santo, Brazil
	A05316	Herzen Ped U	Herzen Pedagogical University, Russia
	A05317	NM MNHS	New Mexico Museum of Natural History and Science
	A05318	Natl ICT Austr	National ICT Australia
	A05319	U Cape Verde	University of Cape Verde
	A05320	Fed Res Ctr For	Federal Research Centre for Forests, Innsbruck, Austria
	A05321	PITP	Perimeter Institute for Theoretical Physics, Canada
	A05322	KMS Fusion	KMS Fusion Inc., Michigan
	A05323	TU Sofia	Technical University of Sofia, Bulgaria
	A05324	U Tlemcen	Abou Bekr Belkaid University Tlemcen, Algeria
	A05325	ESIEE Paris	Ecole Superieure d'Ingenieurs en Electrotechnique et Electronique Management, Paris, France
	A05326	Aalto U	Aalto University, Finland
A05326	A05327	Dep Elec Eng	Aalto University, Department of Electrical Engineering
A05326	A05328	Dep Rad Sci Eng	Aalto University, Department of Radio Science and Engineering
A05326	A05329	Metsahovi Rad Obs	Aalto University, Metsahovi Radio Observatory
A05326	A05497	HIIT	Helsinki Institute for Information Technology, Finland
	A05331	Cankiri Karatekin U	Cankiri Karatekin University, Turkey
	A05332	Syiah Kuala U	Syiah Kuala University, Indonesia
	A05333	Indonesia U Educ	Indonesia University of Education
	A05334	Rize U	Recep Tayyip Erdogan University, Turkey
	A05335	Cen City U RJ	Central City University of Rio de Janeiro, Brazil
	A05336	JXSTNU	Jiangxi Science and Technology Normal University, China
	A05337	Nanchang Inst Tech	Nanchang Institute of Technology, China
	A05338	Suzhou Tchr Coll	Suzhou Teachers College, China
	A05339	Henan Inst Sci Tech	Henan Institute of Science and Technology, China
	A05340	Eng Sch Antioquia	Engineering School of Antioquia, Colombia
	A05341	CIDESI	Center for Research and Developing Technology, Mexico
	A05342	ITTG	Instituto Tecnologico de Tuxtla Gutierrez, Mexico
	A05343	Poly U Baja Cal	Polytechnic University of Baja California, Mexico
	A05344	Zanjan U	Zanjan University, Iran
	A05345	Tafresh U	Tafresh University, Iran
	A05346	Yasouj U	Yasouj University, Iran
	A05347	Mohaghegh Ardabili U	Mohaghegh Ardabili University, Iran
	A05348	Hakim Sabzevari U	Hakim Sabzevari University, Iran
	A05349	U Qom	University of Qom, Iran
	A05350	Kyrgyzstan NAS	Kyrgyzstan National Academy of Sciences
	A05351	Kyrgyz-Russ Slav U	Kyrgyz-Russian Slavic University
	A05352	Kyrgyz St Tech U	Kyrgyz State Technical University
	A05353	U Islam Jakarta	Universitas Islam Jakarta, Indonesia
	A05354	TU Kenya	Technical University of Kenya
	A05355	U Shumen	University of Shumen, Bulgaria
	A05356	SW U Neofit Rilski	South West University Neofit Rilski, Bulgaria
	A05357	SKSU	South Kazakhstan State University
	A05358	KBTU	Kazakhstan British Technical University, Almaty
	A05359	UFRB	Federal University of Reconcavo, Brazil
	A05360	U Banja Luka	University of Banja Luka, Bosnia
	A05361	BSUIR	Belarusian State University of Informatics and Radioelectronics
	A05362	FU Georgia	Free University of Georgia, Georgia
	A05363	TU Georgia	Technical University of Georgia, Georgia
	A05364	UGA Tbilisi	University of Georgia, Tbilisi, Georgia
	A05365	Latvian Ac Sci	Latvian Academy of Sciences
A05365	A11449	Ventspils IRAC	Ventspils International Radio Astronomy Center
	A05366	Anambra St U	Anambra State University, Nigeria
	A05367	Geop Inst Peru	Geophysical Institute of Peru
	A05368	IIAP	Instituto de Investigacion de la Amazonia, Peru
	A05369	CONIDA Peru	National Commission for the Investigation and Development of Space, Peru
	A05370	UIK Tiaret	Universite Ibn Khaldoun Tiaret, Algeria
	A05371	U Montenegro	University of Montenegro
	A05372	Natl U Asuncion	National University of Asuncion, Paraguay
	A05373	Bitlis Eren U	Bitlis Eren University, Turkey
	A05374	Kirklareli U	Kirklareli University, Turkey
	A05375	Ahi Evran U	Ahi Evran University, Turkey
	A05376	Siirt U	Siirt University, Turkey
